text,toxic,severe_toxic,obscene,threat,insult,identity_hate
ладно гг ,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
изи,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
од,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
ебаный,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
мусор на войде,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
мусор ,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
на войде,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
репорт,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
100%,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
twitch.tv/rage_channel,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
https://www.twitch.tv/rage_channel,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
2 даша подряд ,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
баша ,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
где даша?,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
даша домой,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
долбоеб сука на дизрапторе,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
даун с 1 тычки забашил ,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
шок ,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
https://www.twitch.tv/rage_channel,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
https://www.twitch.tv/rage_channel,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
https://www.twitch.tv/rage_channel,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
https://www.twitch.tv/rage_channel,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
стример харду сливает)0)),0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
))),0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
carry,0.091260254,0.01568488,0.052281607,0.008612824,0.053672615,0.020291345
yes dog,0.09038795,0.015632557,0.052368075,0.008600158,0.053349577,0.020237694
lul,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
HAHAH,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
yeah ,0.09123167,0.01561157,0.052297514,0.008606539,0.053506486,0.020164082
fast and furious,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
